language,Audio_transcript,File,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s,provider,model,num_segments,real_time_factor,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,lwWER,toWER,OIWER,script_penalty,SemanticSim,LevenshteinSim,PIER,CS_Recall,CS_Precision,CS_F1
assamese,1TdGhc7C5gpJmCjKhluDX_UDNMVwDqf6C,Assamese_61_2800,Assamese,All,21,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,5,0,sarvam_v3,saaras:v3,90,n/a,0,0.05050,0.0302,0.0502,0.0756,0.9244,137,2.6,91,1.7,36,0.7,0.0577,0.0453,0.0574,-0.0072,0.9991,0.9698,0,1,1,1
odia,12KX6sXNdpMzcXJ69EaKlzkH2589O6y5D,Odia_66_1652,Odia,All,16.87,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Odisha,Odisha,2,0,elevenlabs,scribe_v2,71,0.14x,139.618,0.05050,0.0189,0.0501,0.0779,0.9221,115,2.9,60,1.5,27,0.7,0.0568,0.0505,0.0485,-0.0063,1,0.9811,0.018,0.9774,0.9774,0.9774
marathi,1m-cuQ5b3qkO3SUx4uqKYvImFokc5LG1q,MARATHI_366_1334,Marathi,All,13.57,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Maharashtra,Maharashtra,3,0,soniox,stt-async-v4,41,0.14x,117.672,0.05020,0.0227,0.0499,0.0778,0.9222,125,2.9,67,1.5,26,0.6,0.0502,0.0502,0.0502,0,0.9469,0.9773,0,1,1,1
nepali,1USNU1KzWb4naok7psL6rab24HqXgAIB9,Nepali_282_1759,Nepali,All,17.98,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,10,0,gemini_pro,gemini-2.5-pro,177,0.29x,282.035,0.05020,0.0326,0.0494,0.0757,0.9243,140,2.7,38,0.7,79,1.5,0.0519,0.0502,0.054,-0.0017,0.9609,0.9674,0.1479,0.9064,0.9688,0.9366
assamese,1LymVnumI6F3qPlsH1pq-IxJrnw-vaB9K,Assamese_14_2424,Assamese,All,16.82,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Medium (5-20s),Balanced Dialogue,,,15,0,sarvam_v3,saaras:v3,80,n/a,0,0.05010,0.0289,0.0495,0.0769,0.9231,130,2.8,41,0.9,58,1.3,0.0597,0.0495,0.0603,-0.0095,0.9992,0.9712,0,1,1,1
gujarati,1nAaAJsRh963iyp8pglcwVqRiQigdpf9J,Gujarati_244_2001,Gujarati,All,20.02,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,8,0,sarvam_v2,saarika:v2.5,123,n/a,0,0.05010,0.0297,0.0498,0.0744,0.9256,143,2.5,103,1.8,37,0.7,0.0504,0.0501,0.0504,-0.0003,0.9972,0.9703,0,1,0,0
Spoken Tamil,1c6KN_oAJtCk-sRqM3QOhzXUM88Zkyyn7,Tamil_166_0827,Spoken Tamil,All,8.45,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,5,0,elevenlabs,scribe_v2,41,0.17x,88.347,0.04990,0.0317,0.049,0.0679,0.9321,61,1.9,37,1.2,59,1.9,0.05,0.0499,0.0447,-0.0001,0.9898,0.9687,0.0244,0.9672,0.9291,0.9478
Indian Bengali,1fBVUb1dCtRN3bmIt1b8kzEmGdbfXmryj,Bengali (Kolkata)_108_1933,Bengali,All,19.55,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,10,0,gemini_flash,gemini-2.5-flash,402,0.12x,139.87,0.04980,0.0363,0.0488,0.0718,0.9282,143,2.4,37,0.6,118,2,0.053,0.0498,0.0546,-0.0032,0.9921,0.9637,1,0,1,0
telugu,1HOS16b5FkI6uPEgNMu4BiCFGWibGpU5D,Telugu_94_1021,Telugu,All,10.35,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Telangana,Telangana,10,0,gemini_pro,gemini-2.5-pro,169,0.31x,195.203,0.04960,0.026,0.049,0.0735,0.9265,69,2.5,31,1.1,35,1.3,0.0508,0.0496,0.0523,-0.0012,0.9989,0.9741,0.0423,0.9518,0.9476,0.9497
gujarati,1yBQk2FRxEALWWctYgaVFMhVGDB2Lxc3_,Gujarati_411_1851,Gujarati,All,18.85,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,9,0,gemini_pro,gemini-2.5-pro,184,0.21x,239.557,0.04950,0.0271,0.0492,0.077,0.923,155,2.9,76,1.4,36,0.7,0.0495,0.0495,0.0495,0,0.9527,0.9729,0,1,0,0
assamese,1-bPvV_CFAuPI0jUW4lN7sdVkI0vS2N_4,Assamese_17_1529,Assamese,All,10.68,Medium (5-15 min),Unknown,Unknown,Unknown,No Overlap,High (>20s),Balanced Dialogue,,,22,0,sarvam_v3,saaras:v3,66,n/a,0,0.04940,0.0289,0.0487,0.073,0.927,74,2.5,30,1,42,1.4,0.0587,0.0494,0.0596,-0.0092,0.8988,0.9712,1,0,1,0
gujarati,1nAaAJsRh963iyp8pglcwVqRiQigdpf9J,Gujarati_244_2001,Gujarati,All,20.02,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,8,0,aws_transcribe,aws-transcribe,133,n/a,0,0.04910,0.0232,0.0487,0.0744,0.9256,149,2.6,90,1.6,38,0.7,0.0495,0.0491,0.0495,-0.0004,0.5476,0.9768,0,1,1,1
urdu,1noJlU_uz1GldggqlWs7OyMQgCOG4NBnG,Urdu_213_1920,Urdu,All,19.33,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Karnataka,Karnataka,14,0,gemini_flash,gemini-2.5-flash,109,0.16x,172.64,0.04890,0.0363,0.0485,0.0857,0.9143,150,3.9,10,0.3,28,0.7,0.0489,0.0489,0.0495,0,0.9479,0.9637,1,0,1,0
gujarati,10zs5VdhzoZgB7u1yxsPCpSIJYkKUtGZv,Gujarati_160_1615,Gujarati,All,16.25,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Gujarat,Gujarat,4,0,sarvam_v3,saaras:v3,82,n/a,0,0.04870,0.0258,0.0485,0.0763,0.9237,132,2.9,66,1.4,26,0.6,0.0488,0.0487,0.0489,-0.0001,0.9501,0.9742,0,1,1,1
marathi,1XZwvl7Oe11kwMDFk-PZo1crPmbGu2Txt,MARATHI_378_1500,Marathi,All,15,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,8,0,aws_transcribe,aws-transcribe,110,n/a,0,0.04870,0.0273,0.0483,0.0681,0.9319,95,2,90,1.9,44,0.9,0.0488,0.0487,0.0488,0,0.9862,0.9727,0,1,1,1
gujarati,1hA0rGuAhQqqPLh63QD4VZAZegTU4Sk-h,Gujarati_405_1455,Gujarati,All,14.92,Medium (5-15 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Gujarat,Gujarat,12,0,soniox,stt-async-v4,137,0.16x,139.755,0.04860,0.0256,0.0482,0.0756,0.9244,123,2.8,53,1.2,35,0.8,0.0496,0.0486,0.0494,-0.001,0.999,0.9744,0,1,0,0
gujarati,1LmG4pttC9CgJf8arazbszVsVtElSzcSZ,Guharati_412_1903,Gujarati,All,19.05,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Gujarat,Gujarat,13,0,gemini_flash,gemini-2.5-flash,289,0.11x,125.088,0.04830,0.0213,0.0478,0.0762,0.9238,160,3,45,0.8,56,1,0.0483,0.0483,0.0484,-0.0001,0.9985,0.9787,0,1,0,0
gujarati,1LmG4pttC9CgJf8arazbszVsVtElSzcSZ,Guharati_412_1903,Gujarati,All,19.05,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Gujarat,Gujarat,13,0,sarvam_v3,saaras:v3,175,n/a,0,0.04830,0.0202,0.0478,0.0756,0.9244,156,2.9,49,0.9,56,1,0.0489,0.0483,0.0488,-0.0006,0.9988,0.9798,0,1,0,0
marathi,1Rf8MBnwFsrm_SXz0p8i-lcYOr0d7ooWw,MARATHI_205_1428,Marathi,All,14.47,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Maharashtra,Maharashtra,11,0,gemini_pro,gemini-2.5-pro,158,0.19x,164.709,0.04820,0.0257,0.0478,0.0731,0.9269,121,2.6,70,1.5,33,0.7,0.0482,0.0482,0.0482,0,0.9917,0.9743,0,1,0,0
marathi,1WlIOH59Hz6fptzxxyI-OniazOdoSlNqt,MARATHI_171_1502,Marathi,All,15.03,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Maharashtra,Maharashtra,13,0,soniox,stt-async-v4,179,0.16x,145.943,0.04800,0.0206,0.0477,0.0766,0.9234,148,3,58,1.2,32,0.6,0.048,0.048,0.048,0,0.9964,0.9794,0,1,1,1
gujarati,10zs5VdhzoZgB7u1yxsPCpSIJYkKUtGZv,Gujarati_160_1615,Gujarati,All,16.25,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Gujarat,Gujarat,4,0,sarvam_v2,saarika:v2.5,82,n/a,0,0.04790,0.0261,0.0476,0.0738,0.9262,124,2.7,68,1.5,28,0.6,0.0479,0.0479,0.048,-0.0001,0.9085,0.9739,0,1,0,0
assamese,1TdGhc7C5gpJmCjKhluDX_UDNMVwDqf6C,Assamese_61_2800,Assamese,All,21,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,5,0,elevenlabs,scribe_v2,27,0.51x,645.926,0.00420,0.0034,0.0042,0.0052,0.9948,5,0.1,15,0.3,2,0,0.0048,0.0042,0.005,-0.0006,1,0.9966,0,1,1,1
assamese,1VtTx8jWgWq9JC8znWmXfOmdkXCG4RZ4H,Assamese_9_4128,Assamese,All,20.73,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,3,0,elevenlabs,scribe_v2,17,0.10x,127.758,0.00300,0.0014,0.003,0.0058,0.9942,14,0.3,0,0,1,0,0.0031,0.0024,0.0032,-0.0001,1,0.9986,0,1,1,1
Spoken Hindi,1D0JdaOnNQ5uFlP3nja7wXhVv88dJXVWs,Hinglish_103_1525,Spoken Hindi,All,15.42,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,6,0,deepgram,nova-3,24,0.04x,34.159,0.04750,0.0232,0.0471,0.0771,0.9229,135,3.1,34,0.8,37,0.9,0.0475,0.0475,0.0505,0,0.998,0.977,0.0273,0.9669,0.9548,0.9608
gujarati,1yBQk2FRxEALWWctYgaVFMhVGDB2Lxc3_,Gujarati_411_1851,Gujarati,All,18.85,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,9,0,gemini_flash,gemini-2.5-flash,418,0.11x,124.969,0.04730,0.0245,0.0469,0.0736,0.9264,149,2.8,59,1.1,47,0.9,0.0473,0.0473,0.0472,0,0.9722,0.9755,0,1,0,0
punjabi,198RAiea-Ytxs2Q5h82UULitgPAtrOjwd,Punjabi_196_1620,Punjabi,All,16.33,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Punjab,Punjab,20,0,aws_transcribe,aws-transcribe,112,n/a,0,0.04730,0.0252,0.047,0.0738,0.9262,143,2.8,68,1.3,33,0.6,0.0476,0.0473,0.0484,-0.0003,0.9998,0.9748,0,1,1,1
gujarati,152uAJwLzQ5D0qXoOlPzZkoarAHv8LjEN,Gujarati_316_1705,Gujarati,All,17.08,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Gujarat,Gujarat,4,0,sarvam_v3,saaras:v3,92,n/a,0,0.04710,0.0264,0.0467,0.0759,0.9241,157,3,42,0.8,45,0.9,0.0488,0.0471,0.049,-0.0016,0.5759,0.9736,0.9231,0.1,0.1111,0.1053
assamese,1xS2TKpwfiCTkCzx14qn-aJfxRMPzqFgL,Assamese_274_2956,Assamese,All,22.45,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,High (>20s),Balanced Dialogue,,,108,0,elevenlabs,scribe_v2,159,0.07x,89.66,0.00240,0.0012,0.0024,0.0045,0.9955,10,0.2,0,0,2,0,0.003,0.0012,0.0027,-0.0006,1,0.9988,0,1,1,1
Spoken Tamil,1KuAIBAYwDl9N1YTrmAIC4cZFFo1NE-sg,Tamilish_508_1943,Spoken Tamil,All,19.72,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Rapid Exchange,Tamil Nadu,Tamil Nadu,43,0,elevenlabs,scribe_v2,158,0.09x,92.844,0.04660,0.028,0.0462,0.0619,0.9381,82,1.6,113,2.2,45,0.9,0.0467,0.0466,0.0533,-0.0001,0.9903,0.972,0.0224,0.9838,0.9824,0.9831
Spoken Tamil,1ILnoGzERTw6oEMg8Q9eaINvYFxLhFOsI,Tamilish_338_1537,Spoken Tamil,All,15.62,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,8,0,elevenlabs,scribe_v2,49,0.10x,89.321,0.04640,0.0207,0.0458,0.068,0.932,103,2.3,42,0.9,63,1.4,0.0465,0.0464,0.0427,-0.0001,0.9823,0.9794,0.0154,0.9846,0.9865,0.9855
odia,1M3aAzzEZXKAWoa_vsZGvZLI4gHM07zgh,Odia_398_1800,Odia,All,18,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Odisha,Odisha,6,0,elevenlabs,scribe_v2,93,0.15x,158.201,0.04630,0.0219,0.0459,0.0723,0.9277,121,2.7,50,1.1,35,0.8,0.0522,0.0463,0.0574,-0.0059,0.9958,0.9781,0.0174,0.9848,0.9664,0.9755
malayalam,1dxeIOsuCXrBYWWIcNVSlkwRhQzPIlgdz,Malyalam_275_1516,Malayalam,All,15.27,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Kerala,Kerala,2,0,elevenlabs,scribe_v2,27,0.12x,108.368,0.04610,0.0273,0.0455,0.0678,0.9322,119,2.3,54,1,65,1.3,0.0461,0.0461,0.0473,-0.0001,0.9977,0.9727,0.1027,0.9293,0.9388,0.934
malayalam,19Te1nA3irbL0nI137lXXtE4zU89Q-VHW,Malyalam_58_1939,Malayalam,All,19.65,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Kerala,Kerala,2,0,elevenlabs,scribe_v2,17,0.13x,158.105,0.04530,0.0211,0.0448,0.0715,0.9285,166,2.8,35,0.6,70,1.2,0.0454,0.0453,0.0423,-0.0001,0.9715,0.9789,0.0158,0.9799,0.9669,0.9733
urdu,1vaMfFIy6aqCDx5qv7HCjXMXgWFYbZg4t,Urdu_25_1829,Urdu,All,18.48,Long (15-30 min),Mixed Gender,Cross State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Uttar Pradesh,11,0,soniox,stt-async-v4,134,0.22x,223.438,0.04520,0.0245,0.0449,0.081,0.919,141,3.8,10,0.3,18,0.5,0.0452,0.0452,0.0455,0,0.9917,0.9755,1,0,0,0
Spoken Hindi,1r92AWQHlZqP_dqrBKNOiiHiVi40dpxVk,Hinglish_790_1625,Spoken Hindi,All,16.42,Long (15-30 min),Same Gender,Cross State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Chandigarh,Chhattisgarh,14,0,deepgram,nova-3,13,0.02x,20.715,0.04510,0.026,0.0448,0.0676,0.9324,113,2.3,71,1.5,33,0.7,0.0447,0.0451,0.0458,0.0004,0.9593,0.974,0.0642,0.9713,0.9389,0.9548
gujarati,1LmG4pttC9CgJf8arazbszVsVtElSzcSZ,Guharati_412_1903,Gujarati,All,19.05,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Gujarat,Gujarat,13,0,sarvam_v2,saarika:v2.5,174,n/a,0,0.04490,0.0192,0.0445,0.0708,0.9292,147,2.7,46,0.9,50,0.9,0.045,0.0449,0.0451,-0.0001,0.9987,0.9808,0,1,1,1
bhojpuri,10oOuXquLHkLOsE7TdfA0lg2mep_AhxVd,Bhojpuri_1_1742,Bhojpuri,All,17.72,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Bihar,UP,2,0,elevenlabs,scribe_v2,135,0.11x,117.744,0.04460,0.0297,0.0436,0.0571,0.9429,63,1.4,25,0.6,113,2.5,0.0446,0.0446,0.0464,0,0.9943,0.9708,0.0412,0.95,1,0.9744
malayalam,19OJnZ1sd0pC-3Z-koFFJz6VKWG5U7tJM,Malyalam_22_0904,Malayalam,All,9.07,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Kerala,Kerala,12,0,soniox,stt-async-v4,40,0.17x,93.399,0.04440,0.0308,0.0439,0.0702,0.9298,86,2.7,20,0.6,34,1.1,0.0446,0.0444,0.0448,-0.0002,0.9979,0.9692,1,0,1,0
gujarati,1nAaAJsRh963iyp8pglcwVqRiQigdpf9J,Gujarati_244_2001,Gujarati,All,20.02,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,8,0,soniox,stt-async-v4,105,0.13x,156.53,0.04430,0.0257,0.0441,0.069,0.931,145,2.6,77,1.4,28,0.5,0.0447,0.0443,0.0448,-0.0004,0.9988,0.9743,0,1,0,0
urdu,1Roynpu9E0oHSWpLS9gj9cQ19jJ3-moIi,Urdu_269_1901,Urdu,All,19.02,Long (15-30 min),Mixed Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Karnataka,Uttar Pradesh,12,0,gemini_pro,gemini-2.5-pro,98,0.15x,156.711,0.04420,0.0302,0.0438,0.075,0.925,122,3.3,8,0.2,36,1,0.0442,0.0442,0.0453,0,0.9765,0.97,0.1743,0.8769,0.7917,0.8321
bhojpuri,1zK9147BIZn27QOmeM7Ayru2m-QmtOh-e,Bhojpuri_14_2510,Bhojpuri,All,25.18,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Bihar,UP,2,0,elevenlabs,scribe_v2,251,0.14x,206.175,0.04410,0.0239,0.0437,0.0658,0.9342,143,2.3,83,1.3,52,0.8,0.0441,0.0441,0.0463,0,0.981,0.9761,0.0072,0.9878,0.9878,0.9878
marathi,14ZOsDycdO3hfegZIEKAbN3GoMNIkWisG,MARATHI_332_1543,Marathi,All,15.72,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,10,0,soniox,stt-async-v4,115,0.13x,125.054,0.04410,0.0208,0.0437,0.0671,0.9329,119,2.4,59,1.2,40,0.8,0.0443,0.0441,0.0443,-0.0002,0.9768,0.9792,0,1,0,0
assamese,1xS2TKpwfiCTkCzx14qn-aJfxRMPzqFgL,Assamese_274_2956,Assamese,All,22.45,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,High (>20s),Balanced Dialogue,,,108,0,gemini_flash,gemini-2.5-flash,353,0.10x,141.099,0.04400,0.0219,0.0436,0.0688,0.9312,128,2.6,37,0.8,51,1,0.0615,0.0373,0.0623,-0.0175,0.9996,0.9781,0,1,0,0
gujarati,1LmG4pttC9CgJf8arazbszVsVtElSzcSZ,Guharati_412_1903,Gujarati,All,19.05,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Gujarat,Gujarat,13,0,gemini_pro,gemini-2.5-pro,209,0.19x,215.877,0.04400,0.0188,0.0436,0.0696,0.9304,146,2.7,37,0.7,55,1,0.0441,0.044,0.0442,-0.0001,0.9994,0.9812,0,1,1,1
odia,1B2evVyBlZYxWEL-CZ6qMrCJVg_ewFF8S,Odia_342_1555,Odia,All,15.92,Long (15-30 min),Mixed Gender,Same State,Same Age Group,Has Overlap,Medium (5-20s),Rapid Exchange,Odisha,Odisha,10,3,elevenlabs,scribe_v2,136,0.16x,156.623,0.04360,0.025,0.0433,0.065,0.935,90,2.2,59,1.5,27,0.7,0.0489,0.0436,0.053,-0.0054,0.9999,0.975,0.0256,0.9625,0.9686,0.9655
punjabi,11jU0NFVzmERy3Cn9flRitsWErqr-irjW,Punjabi_314_1700,Punjabi,All,17,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Punjab,Punjab,15,0,elevenlabs,scribe_v2,130,0.17x,178.55,0.04350,0.0358,0.043,0.0631,0.9369,102,2.1,52,1.1,61,1.2,0.0442,0.0435,0.0436,-0.0007,0.9804,0.9642,0.1244,0.9315,0.9577,0.9444
Indian Bengali,1rnsRVnrAc56ZPO3Bo64jySCeHdQqHwfh,Bengali (Kolkata)_136_1636,Bengali,All,16.6,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,10,0,gemini_flash,gemini-2.5-flash,273,0.09x,92.708,0.04340,0.025,0.0428,0.0626,0.9374,92,2,42,0.9,62,1.4,0.0478,0.0434,0.0484,-0.0044,0.9675,0.975,0.0463,0.9673,0.9875,0.9773
gujarati,1yBQk2FRxEALWWctYgaVFMhVGDB2Lxc3_,Gujarati_411_1851,Gujarati,All,18.85,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,9,0,sarvam_v2,saarika:v2.5,108,n/a,0,0.04340,0.0229,0.0432,0.0675,0.9325,135,2.5,67,1.2,32,0.6,0.0434,0.0434,0.0435,0,0.9675,0.9771,0,1,0,0
nepali,1AyUXWBJE-VlRaOWNYQuYTp8sTn70jzPz,Nepali_59_1434,Nepali,All,14.57,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Nepal,Nepal,2,0,elevenlabs,scribe_v2,27,0.13x,115.258,0.04330,0.0367,0.0426,0.0636,0.9364,98,2.2,21,0.5,76,1.7,0.0434,0.0433,0.0442,-0.0001,0.9865,0.9633,0.5769,0.5254,0.9394,0.6739
gujarati,10zs5VdhzoZgB7u1yxsPCpSIJYkKUtGZv,Gujarati_160_1615,Gujarati,All,16.25,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Gujarat,Gujarat,4,0,soniox,stt-async-v4,50,0.12x,119.777,0.04310,0.0222,0.0428,0.0688,0.9312,123,2.7,48,1,27,0.6,0.0431,0.0431,0.0432,-0.0001,0.8582,0.9778,0,1,1,1
nepali,1EcUYt5dKIEDs7DcICDFXgo0doZOzMPxJ,Nepali_153_1908,Nepali,All,19.13,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,gemini_flash,gemini-2.5-flash,322,0.24x,248.069,0.04280,0.025,0.0423,0.065,0.935,131,2.3,44,0.8,65,1.2,0.0428,0.0428,0.0424,0,0.9994,0.975,0.0366,0.9689,0.9398,0.9541
marathi,1yHXnT5c5iArFF8dOrin_NRnRft0Rabjb,MARATHI_383_1440,Marathi,All,14.67,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,8,0,soniox,stt-async-v4,94,0.16x,137.51,0.04250,0.0227,0.0421,0.0641,0.9359,106,2.3,55,1.2,39,0.8,0.043,0.0425,0.043,-0.0005,0.9843,0.9773,0,1,1,1
odia,1uiSM4PjhEojhfK1TJUKvPINWQX0mw3my,Odia_24_1509,Odia,All,15.15,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Odisha,Odisha,4,0,elevenlabs,scribe_v2,63,0.17x,150.677,0.04250,0.0213,0.0423,0.0616,0.9384,77,2,70,1.8,19,0.5,0.0477,0.0425,0.0445,-0.0052,0.9959,0.9787,0.0439,0.978,0.9622,0.97
punjabi,1yulAC68aAg989GjMgYWFXkbuxURfbIR1,Punjabi_477_1707,Punjabi,All,17.12,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Punjab,Punjab,4,0,gemini_pro,gemini-2.5-pro,161,0.19x,192.494,0.04240,0.0239,0.0418,0.0623,0.9377,108,2.1,40,0.8,69,1.3,0.0425,0.0424,0.043,-0.0002,0.9999,0.9763,0.0476,0.9333,0.9545,0.9438
gujarati,1frcWm7u-O1iZWrvnxmEpDWlbZ6QeEsIy,Gujarati_336_2239,Gujarati,All,22.65,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,12,0,gemini_pro,gemini-2.5-pro,215,0.20x,276.651,0.04230,0.0212,0.0421,0.0677,0.9323,170,2.6,82,1.3,21,0.3,0.0424,0.0423,0.0424,-0.0001,0.9706,0.9788,0,1,0,0
gujarati,1UZTQKygGB0fr7ijKcrultRJEEQpR6vVs,Gujarati_247_2014,Gujarati,All,20.23,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,7,0,soniox,stt-async-v4,58,0.16x,189.121,0.04200,0.0196,0.0418,0.0684,0.9316,152,2.7,60,1.1,21,0.4,0.042,0.042,0.042,0,0.9567,0.9804,0,1,1,1
marathi,1mMCb3VA1Tvwk1A07CKwOtlRjpyhlQIux,MARATHI_432_1514,Marathi,All,15.23,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,11,0,soniox,stt-async-v4,114,0.14x,125.902,0.04200,0.0214,0.0417,0.0646,0.9354,115,2.3,55,1.1,36,0.7,0.0421,0.042,0.0421,0,0.8692,0.9786,0,1,0,0
kannada,1vJFzXZIPdI75pKF0oWqADFnDfpQIqMls,Kannada_3_1609,Kannada,All,16.15,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,elevenlabs,scribe_v2,161,0.12x,117.047,0.04170,0.0324,0.0408,0.0553,0.9447,70,1.5,14,0.3,110,2.4,0.0411,0.0417,0.0429,0.0006,1,0.9676,0.2202,0.8559,1,0.9223
